"ERROR_INVALID_INPUT","Il file del certificato e la password sono necessari."
"ERROR_INVALID_UNKNOWN","Il certificato non può essere convalidato. Ti preghiamo di riprovare."
"ERROR_INVALID_CERTIFICATE_FORMAT","Formato certificato non valido"
"ERROR_INVALID_PASSPHRASE","Password non valida"
"ERROR_INVALID_ISSUER_COUNTRY","Paese emittente non valido"
"ERROR_INVALID_ISSUER_ORGANIZATION","Organizzazione emittente non valida"
"ERROR_INVALID_EXPIRY_DATE","Data di scadenza non valida"
"ERROR_CERTIFICATE_EXPIRED","Certificato scaduto"
"ERROR_CERTIFICATE_NOT_YET_VALID","Il certificato non è ancora valido."
"View","Visualizza"
"TWINT","TWINT"
"Switch to TWINT app now","Passa ora all'app TWINT"
"Choose your TWINT app","Scegli la tua app TWINT"
"Other banks","Altre banche"
"or","oppure"
"Enter this code in your TWINT app:","Inserisci questo codice nella tua app TWINT:"
"Certificate validation successful","Convalida certificato andata a buon fine"
"Something went wrong while processing the data.","Si è verificato un errore durante l'elaborazione dei dati."
"Invalid credentials. Please check again: Store UUID, certificate and environment (mode)","Credenziali non valide. Ti preghiamo di ricontrollare: UUID del suo negozio, certificato e ambiente (modalità)"
"Request Log","Registro delle richieste"
"Choose file","Scegli file"
"Only .p12 files are allowed","Sono consentiti solo file .p12"
"Certificate password is required","La password del certificato è necessaria"
"Certificate encrypted and stored","Certificato crittografato e archiviato"
"Upload new certificate","Carica nuovo certificato"
"Production","Produzione"
"Test","Test"
"Product detail page","Pagina dettagli prodotto"
"Product listing page","Pagina elenco prodotti"
"Cart page","Pagina carrello"
"Cart flyout","Carrello a comparsa"
"Captured amount of CHF %1, Transaction ID %2","Importo acquisito di CHF %1, ID transazione %2"
"Amount to refund should be greater than 0","L'importo da rimborsare deve essere maggiore di 0"
"Total amount should not exceed the maximum refundable amount","L'importo totale non deve superare l'importo massimo rimborsabile"
"Transaction logs","Log transazioni"
"API method","Metodo API"
"Request","Richiesta"
"Response","Risposta"
"Express Checkout","Express Checkout"
"Copy code","Copia il codice"
"Scan this QR Code with your TWINT app to complete the checkout.","Scansiona questo codice QR con l’app TWINT per completare il check-out."
"Select a shipping address and complete the purchase in the app.","Seleziona un indirizzo di consegna e completa l’acquisto nell’app."
"TWINT Checkout","TWINT Checkout"
"Invalid Store UUID. Store UUID needs to be a UUIDv4","UUID del suo negozio non valido. L’UUID del suo negozio deve essere un UUIDv4."
"Validating credentials","Convalida delle credenziali"
"Saving...","Salvataggio..."
"Copied!","Copiato!"
"Cancel checkout","Annulla il pagamento"
"Payment method offered by TWINT","Metodo di pagamento offerto da TWINT"
"Configuration","Configurazione"
"Credentials","Credenziali "
"Store UUID","UUID del suo negozio"
"Environment","Ambiente"
"Certificate","Certificato"
"TWINT Express Checkout","TWINT Express Checkout"
"Display screens","Schermate di visualizzazione"
"Where users see the TWINT Express Checkout button","Dove gli utenti visualizzano il pulsante per TWINT Express Checkout"
"Order","Ordine"
"Store","Negozio"
"Amount","Importo"
"Status","Stato"
"Pairing Status","Stato dell'abbinamento"
"Transaction Status","Stato della transazione"
"Transaction Date","Data della transazione"
"Actions","Azioni"
"Reversal ID","ID dell'annullamento"
"Pairing ID","ID dell'abbinamento"
"Refunded by","Rimborsato da"
"Refund Date","Data del rimborso"
"ID","ID"
"Token","Token"
"TWINT Configuration","Configurazione TWINT"
"TWINT statuses","Stati TWINT"
"Shipping Method","Metodo di spedizione"
"Customer Data","Dati del cliente"
"History ID","ID storico"